address,area,categories,name,price,rating,url
13 W 36th St,Midtown West,Ramen,TONCHIN NEW YORK,$$,4.5,https://www.yelp.com/biz/tonchin-new-york-new-york?osq=Japanese+Food
321 W 51st St,Theater District,Ramen,Ippudo Westside,$$,4.0,https://www.yelp.com/biz/ippudo-westside-new-york?osq=Japanese+Food
1372 York Ave,Upper East Side,"Japanese, Sushi Bars",Tanoshi Bento,$$,4.0,https://www.yelp.com/biz/tanoshi-bento-new-york-2?osq=Japanese+Food
1466 1st Ave,Upper East Side,"Japanese, Sushi Bars",Momokawa,$$$,4.0,https://www.yelp.com/biz/momokawa-new-york-2?osq=Japanese+Food
150 Ainslie St,Williamsburg - North Side,"Japanese, Seafood",Okonomi,$$,4.5,https://www.yelp.com/biz/okonomi-brooklyn?osq=Japanese+Food
226 W 50th St,Theater District,"Sushi Bars, Japanese, Lounges",Natsumi,$$$,4.0,https://www.yelp.com/biz/natsumi-new-york-3?osq=Japanese+Food
125 E 39th St,Murray Hill,"Japanese, Vegan",Kokage,$$$,4.0,https://www.yelp.com/biz/kokage-new-york?osq=Japanese+Food
795 Lexington Ave,Upper East Side,"Japanese, Asian Fusion, Sushi Bars",Ajisai Japanese Fusion,$$,3.5,https://www.yelp.com/biz/ajisai-japanese-fusion-new-york?osq=Japanese+Food
40 W 57th St,Midtown West,"Sushi Bars, Japanese",Nobu 57,$$$$,4.0,https://www.yelp.com/biz/nobu-57-new-york?osq=Japanese+Food
150 W 36 street,Midtown West,"Sushi Bars, Ramen, Salad",Zen Ramen & Sushi,$$,4.5,https://www.yelp.com/biz/zen-ramen-and-sushi-new-york?osq=Japanese+Food
12 E 49th St,Midtown East,"Sushi Bars, Japanese",Niigata Kome Tosho,$$,4.5,https://www.yelp.com/biz/niigata-kome-tosho-new-york?osq=Japanese+Food
61 Grove St,West Village,Japanese,Hakata Tonton,$$,4.0,https://www.yelp.com/biz/hakata-tonton-new-york-3?osq=Japanese+Food
210 E 44th St,Midtown East,"Japanese, Sushi Bars",Sushi Tsushima,$$,3.5,https://www.yelp.com/biz/sushi-tsushima-new-york?osq=Japanese+Food
156 E 45th St,Midtown East,Japanese,BentOn Cafe,$,4.0,https://www.yelp.com/biz/benton-cafe-new-york?osq=Japanese+Food
245 E 44th St,Midtown East,Japanese,MIFUNE New York,$$$$,4.0,https://www.yelp.com/biz/mifune-new-york-new-york-2?osq=Japanese+Food
318 W 51st St,Theater District,"Japanese, Sushi Bars",Shimizu,$$$,4.0,https://www.yelp.com/biz/shimizu-new-york?osq=Japanese+Food
248 E 52nd St,Midtown East,Ramen,Totto Ramen - Midtown East,$$,4.0,https://www.yelp.com/biz/totto-ramen-midtown-east-new-york-2?osq=Japanese+Food
120 E 28th St,Flatiron,"Japanese, Sushi Bars",O Ya,$$$$,4.5,https://www.yelp.com/biz/o-ya-new-york?osq=Japanese+Food
239 E 5th St,East Village,"French, Japanese",Restaurant Ukiyo,,5.0,https://www.yelp.com/biz/restaurant-ukiyo-new-york-2?osq=Japanese+Food
18 E 41st St,Midtown East,"Japanese, Desserts",Café Zaiya,$,4.0,https://www.yelp.com/biz/caf%C3%A9-zaiya-new-york-4?osq=Japanese+Food
47-38 Vernon Blvd,Hunters Point,"Sushi Bars, Japanese",Sushi Daizen,$$$$,4.5,https://www.yelp.com/biz/sushi-daizen-long-island-city?osq=Japanese+Food
439 3rd Ave,Kips Bay,"Japanese, Tapas/Small Plates",OKA,$$,4.0,https://www.yelp.com/biz/oka-new-york-5?osq=Japanese+Food
15 W 28th St,Flatiron,"Sushi Bars, Japanese",KazuNori | The Original Hand Roll Bar,$$,4.5,https://www.yelp.com/biz/kazunori-the-original-hand-roll-bar-new-york-2?osq=Japanese+Food
57 W 76th St,Upper West Side,"Japanese, Sushi Bars",Raku - It’s Japanese II,$$,4.0,https://www.yelp.com/biz/raku-its-japanese-ii-new-york-2?osq=Japanese+Food
"805 3rd Ave, 2nd Flr",Midtown East,"Japanese, Barbeque",Gyu-Kaku Japanese BBQ,$$$,4.0,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-new-york-2?osq=Japanese+Food
458 W 17th St,Chelsea,Japanese,奥田,$$$$,4.5,https://www.yelp.com/biz/okuda-new-york?osq=Japanese+Food
137 Rivington St,Lower East Side,"Japanese, Asian Fusion, Comfort Food",TongKatsu,$$,5.0,https://www.yelp.com/biz/tongkatsu-new-york?osq=Japanese+Food
