address,area,categories,name,price,rating,url
"1317A 2nd Ave 69th St
New York, NY 10021",Upper East Side,"Sushi Bars, Caterers, Salad",Oita Sushi,$$,4.5,https://www.yelp.com/biz/oita-sushi-new-york?osq=Japanese+Food
"13 W 36th St
New York, NY 10018",Midtown West,Ramen,TONCHIN NEW YORK,$$,4.5,https://www.yelp.com/biz/tonchin-new-york-new-york?osq=Japanese+Food
"321 W 51st St
New York, NY 10019","Theater District, Midtown West, Hell's Kitchen",Ramen,Ippudo Westside,$$,4.0,https://www.yelp.com/biz/ippudo-westside-new-york?osq=Japanese+Food
"1372 York Ave
New York, NY 10021","Upper East Side, Yorkville","Japanese, Sushi Bars",Tanoshi Bento,$$,4.0,https://www.yelp.com/biz/tanoshi-bento-new-york-2?osq=Japanese+Food
"1466 1st Ave
New York, NY 10075","Upper East Side, Yorkville","Japanese, Sushi Bars",Momokawa,$$$,4.0,https://www.yelp.com/biz/momokawa-new-york-2?osq=Japanese+Food
"150 Ainslie St
Brooklyn, NY 11211",Williamsburg - North Side,"Japanese, Seafood",Okonomi,$$,4.5,https://www.yelp.com/biz/okonomi-brooklyn?osq=Japanese+Food
"226 W 50th St
New York, NY 10019","Theater District, Midtown West","Sushi Bars, Japanese, Lounges",Natsumi,$$$,4.0,https://www.yelp.com/biz/natsumi-new-york-3?osq=Japanese+Food
"125 E 39th St
New York, NY 10016","Murray Hill, Midtown East","Japanese, Vegan",Kokage,$$$,4.0,https://www.yelp.com/biz/kokage-new-york?osq=Japanese+Food
"795 Lexington Ave
New York, NY 10065",Upper East Side,"Japanese, Asian Fusion, Sushi Bars",Ajisai Japanese Fusion,$$,3.5,https://www.yelp.com/biz/ajisai-japanese-fusion-new-york?osq=Japanese+Food
"40 W 57th St
New York, NY 10019",Midtown West,"Sushi Bars, Japanese",Nobu 57,$$$$,4.0,https://www.yelp.com/biz/nobu-57-new-york?osq=Japanese+Food
"150 W 36 street
New York, NY 10018",Midtown West,"Sushi Bars, Ramen, Salad",Zen Ramen & Sushi,$$,4.5,https://www.yelp.com/biz/zen-ramen-and-sushi-new-york?osq=Japanese+Food
"12 E 49th St
New York, NY 10017",Midtown East,"Sushi Bars, Japanese",Niigata Kome Tosho,$$,4.5,https://www.yelp.com/biz/niigata-kome-tosho-new-york?osq=Japanese+Food
